names,good_topic1,good_topic2,good_topic3,good_topic4,good_topic5,good_topic6,bad_topic1,bad_topic2,bad_topic3,bad_topic4,bad_topic5,bad_topic6,main_good_topic,main_bad_topic,business_id
Thurman To Go,0.06177967,0.125574376,0.250046766,0.29752081,0.195069651,0.056421952,0.016069812,0.548642641,0.193530273,0.128317806,0.008989675,0.098231602,good_topic4,"bad_topic2,bad_topic3,bad_topic4",xNqysS-0DcGEnZuWTS03_w
Thurston Spa,0.024470743,0.373094801,0.320261024,0.025559199,0.198462518,0.04585187,0.110824808,0.595960438,0,0.146294981,0,0.134605557,good_topic2,"bad_topic1,bad_topic2,bad_topic4,bad_topic6",5h9ZgOjXosbOe1hinFCqXg
Thyme,0.303582444,0.091225111,0.056513556,0.001422248,0.343452964,0.193296955,0,0.398108155,0.367626846,0,0,0.229152754,good_topic5,"bad_topic2,bad_topic3,bad_topic6",HmppTb0qy8DV3J71IgJRIw
Tibbys New Orleans Kitchen,0.161033155,0.048330489,0.058552949,0.022511614,0.58825379,0.110985761,0.029645546,0.533806519,0.236797539,0.089840987,0.011630814,0.092780705,good_topic5,"bad_topic2,bad_topic3",12E_xNfe_kLtrx2nAQawFA
Tien Hung Market Oriental Food Center,0.421025718,0.084580251,0.303775617,0.037638995,0.077353578,0.069574296,0.015289878,0.492362957,0.26818903,0.164685869,0.007574523,0.041808513,good_topic1,"bad_topic2,bad_topic3,bad_topic4",Ut58RYl0Jn0I2fz-va4srA
Tigard Big Town Hero,0,0,0.894427001,0,0.099368833,0,0,0.674843937,0.261621088,0.048889998,0,0,good_topic3,"bad_topic2,bad_topic3",OlFogTaV7OgZtdn8Usmsrg
Tigerlily Restaurant & Bar,0,0.072043811,0.210488657,0.465828379,0.053455561,0.18952058,0,0.740084946,0.078654058,0.043747175,0,0.124577372,good_topic4,"bad_topic2,bad_topic6",JazGDWdazyrcQnoJ_mXrhg
Tijuana Garage,0.062557864,0.069091599,0.099845481,0.022638974,0.502285233,0.23240601,0.019557148,0.536016937,0.219599999,0.120674597,0.006662529,0.090107088,good_topic5,"bad_topic2,bad_topic3,bad_topic4",aa4eq1ULTGSA9E_hNP1z4A
Tilted Kilt Pub,0,0,0.161888488,0.155676715,0.469062816,0.205613576,0.017793415,0.536498004,0.278699641,0.07030233,0.001864329,0.085732423,good_topic5,"bad_topic2,bad_topic3",Ka6DgN9xdv7u2dUi206HdQ
Tilted Kilt Pub & Eatery,0.026487791,0,0.132171389,0.141405563,0.332209859,0.357995321,0.035893871,0.518719882,0.225147793,0.102091208,0.006947741,0.103117804,good_topic6,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",INv0LhTn9JLByaZ6y_J4RA
Tim Horton's,0.01230554,0.155630679,0.68214947,0,0.134524325,0,0.023040112,0.526551934,0.305910303,0.107127087,0.003895429,0.024037326,good_topic3,"bad_topic2,bad_topic3,bad_topic4",awEGgEv03P-9UnKzzxP4yA
Tim Hortons,0.037192246,0.184195797,0.603468477,0.003719391,0.099152461,0.060576428,0.027428509,0.501194689,0.272126937,0.110332978,0.010469438,0.069512027,good_topic3,"bad_topic2,bad_topic3,bad_topic4",lxSSA3HHe7qL-WJcURR8gw
Time Out Sports Bar Plus,0.050165466,0.045860677,0.022090105,0.118285603,0.304716231,0.448047017,0.035517563,0.46724413,0.251812263,0.146136568,0.004422829,0.089096716,good_topic6,"bad_topic2,bad_topic3,bad_topic4",hIIAIeXPoaD2nNdxS9Z_pA
Tin Shed Garden Cafe,0.096062402,0.528915847,0.09656153,0.039103316,0.134346464,0.094994397,0.015834531,0.482311703,0.28000323,0.08386311,0.007757124,0.123438677,good_topic2,"bad_topic2,bad_topic3,bad_topic6",Un6u2cECyV4nZb_HGZ-uTA
Tina's Corner,0.023679371,0.377522252,0.233841946,0.05721442,0.193668868,0.102168107,0.015674154,0.544681186,0.198994329,0.083749667,0.019254528,0.13075437,good_topic2,"bad_topic2,bad_topic3,bad_topic6",OPxAQhdHUPCLqXcX07q1TA
Tiny Bistro,0.40343754,0.187275691,0.198469988,0,0.145807424,0.057705289,0.07330883,0.462983683,0.165373452,0.139605923,0.036007858,0.115303874,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",Yn2AIMcUICk0u5-V6_gDMQ
Tiny's Coffee South East,0.021835758,0.401895313,0.396532233,0.001768061,0.055313465,0.112872656,0.030406974,0.467601919,0.328746207,0.077989422,0.010131319,0.079119455,good_topic2,"bad_topic2,bad_topic3",TuWLCpHRY_EuX0b0xMpFDA
To Dine For Eatery,0.08801639,0.216157342,0.155250044,0.364108421,0.154401551,0.013405617,0.004628559,0.55244299,0.183863852,0.199408922,0,0.053271554,good_topic4,"bad_topic2,bad_topic3,bad_topic4",Z63CvMshIW9FjDRaFph3bg
